entry_time,exit_time,direction,entry_price,sl,tp,exit_price,outcome,pnl_gross,cost,pnl_net,rr_actual,result,capital,trend_1d,rsi,rsi_ma
2025-09-14 17:00:00,2025-09-15 01:00:00,LONG,4596.83,4582.23,4815.83,4582.23,SL,-160.09,50.32,-210.42,-1.31,LOSS,8632.54,bullish,36.16,44.34
2025-09-15 10:00:00,2025-09-15 12:00:00,LONG,4526.22,4510.62,4760.22,4510.62,SL,-172.65,50.01,-222.66,-1.29,LOSS,8409.88,bullish,32.85,45.46
2025-09-15 18:00:00,2025-09-15 19:00:00,LONG,4509.9,4494.82,4736.1,4494.82,SL,-168.2,50.22,-218.42,-1.3,LOSS,8191.47,bullish,34.29,37.33
2025-09-16 16:00:00,2025-09-17 17:00:00,LONG,4468.19,4446.71,4790.39,4446.71,SL,-163.83,34.0,-197.83,-1.21,LOSS,7993.64,bullish,35.63,39.38
2025-09-17 19:00:00,2025-09-22 00:00:00,LONG,4456.16,4433.77,4792.01,4433.77,SL,-159.87,31.74,-191.61,-1.2,LOSS,7802.03,bullish,40.67,47.44
2025-09-22 04:00:00,2025-09-22 05:00:00,LONG,4305.87,4288.13,4571.97,4288.13,SL,-156.04,37.8,-193.84,-1.24,LOSS,7608.19,bullish,20.49,40.43
2025-09-22 11:00:00,2025-09-22 17:00:00,LONG,4182.78,4150.99,4659.63,4150.99,SL,-152.16,19.94,-172.11,-1.13,LOSS,7436.08,bullish,21.32,21.45
2025-09-23 16:00:00,2025-09-23 17:00:00,LONG,4181.01,4174.55,4277.91,4174.55,SL,-65.49,42.35,-107.84,-1.65,LOSS,7328.24,bullish,42.9,43.66
2025-09-23 19:00:00,2025-09-23 20:00:00,LONG,4157.16,4149.01,4279.41,4149.01,SL,-81.89,41.73,-123.62,-1.51,LOSS,7204.62,bullish,39.32,44.13
2025-09-24 23:00:00,2025-09-25 00:00:00,LONG,4154.62,4145.54,4290.82,4145.54,SL,-89.75,41.02,-130.77,-1.46,LOSS,7073.85,bullish,44.92,48.06
2025-09-25 06:00:00,2025-09-25 07:00:00,LONG,4025.69,4002.87,4367.99,4002.87,SL,-141.48,24.89,-166.36,-1.18,LOSS,6907.48,bullish,27.88,39.7
2025-09-26 05:00:00,2025-09-26 13:00:00,SHORT,3945.88,3965.33,3654.13,3965.33,SL,-138.15,28.1,-166.25,-1.2,LOSS,6741.24,bearish,45.2,37.58
2025-09-26 15:00:00,2025-09-26 16:00:00,SHORT,3930.92,3971.14,3327.62,3971.14,SL,-134.82,13.24,-148.07,-1.1,LOSS,6593.17,bearish,46.76,44.82
2025-09-27 14:00:00,2025-09-27 22:00:00,SHORT,4019.91,4028.92,3884.76,4028.92,SL,-84.23,37.62,-121.86,-1.45,LOSS,6471.31,bearish,54.77,54.05
2025-09-29 08:00:00,2025-09-29 11:00:00,LONG,4108.26,4097.53,4269.21,4097.53,SL,-96.34,36.84,-133.18,-1.38,LOSS,6338.13,bullish,62.61,68.22
2025-09-29 18:00:00,2025-09-30 09:00:00,LONG,4155.54,4142.6,4349.64,4142.6,SL,-112.5,36.07,-148.57,-1.32,LOSS,6189.57,bullish,60.71,63.48
2025-09-30 11:00:00,2025-09-30 14:00:00,LONG,4158.11,4140.78,4418.06,4140.78,SL,-123.79,29.64,-153.43,-1.24,LOSS,6036.13,bullish,48.25,59.36
2025-10-01 23:00:00,2025-10-02 15:00:00,LONG,4312.96,4304.8,4435.36,4435.36,TP,976.43,34.89,941.53,14.46,WIN,6977.67,bullish,60.95,65.93
2025-10-03 15:00:00,2025-10-03 17:00:00,LONG,4482.84,4470.97,4660.89,4470.97,SL,-105.31,39.72,-145.03,-1.38,LOSS,6832.63,bullish,57.8,59.69
2025-10-03 19:00:00,2025-10-04 01:00:00,LONG,4512.57,4471.67,5126.07,4471.67,SL,-136.65,15.01,-151.66,-1.11,LOSS,6680.97,bullish,58.27,58.35
